GEOID,crash_count,Area_km2,MedHHInc,Whites,Black,Asian,Native_Ame,Ethics_div,MedRent,MedHVal,Population,Building_d,Felony_den,Misdemeano,Violation.,Homeless_d,Unemployme,Public,Commercial,Industrial,Residential,Mixed.Use,commercial_density,tree_density,open_space_density,intersection_density,road_density,traffic_signals_density,parking_meter_density,Bus.Stop.Density,Bus.Line.Density,Metro.Stop.Density,Metro.Line.Density,SVI,GVI,VEI,VMI,VHI,avg_speed_limit,mean_elevation,mean_slope,geometry
060759802001,1,0.99502422,NA,35.48387097,23.65591398,31.1827957,0,0.714388947,NA,NA,186.9301231,0.035992623,25.12501655,161.8051066,15.07500993,3.015001986,NA,99.87718707,0,0,0.12281287,6.02377e-8,31.22899763,15.61449881,2.602416469,96.28940936,7.424283946,0,0,13.01215565,2.330224135,0,0,0.304938462,0.212443632,0.186533849,0.413040628,0.010083726,16.14957305,80.20945739746094,11.794647216796875,"MULTIPOLYGON (((-122.5108 37.78206, -122.5075 37.78218, -122.5098 37.78461, -122.5053 37.78831, -122.4938 37.78796, -122.4935 37.7835, -122.4934 37.78163, -122.4988 37.78138, -122.502 37.78123, -122.5052 37.78108, -122.5101 37.78101, -122.5108 37.78206)))"
060750105002,7,0.239389947,232853,64.68085106,0.85106383,25.85106383,0,0.514738569,3049,2000001,3926.647766,0.267557337,797.8614077,2552.321048,522.1606071,768.6204137,2.119460501,18.0221887,50.59302253,0.567477655,0,30.81731112,8999.916182,9032.367803,32.45162085,400.2366571,30.34146665,227.1613459,6923.012448,140.6244825,39.6224435,64.90360731,7.797443503,0.302080023,0.093110164,0.208143677,0.432375845,0.03553131,20.47490573,14.261982917785645,9.989482879638672,"MULTIPOLYGON (((-122.4005 37.79588, -122.3982 37.79619, -122.3995 37.79693, -122.3999 37.79873, -122.3973 37.79947, -122.3923 37.79389, -122.3947 37.79448, -122.3963 37.79334, -122.3966 37.79459, -122.4001 37.79413, -122.4005 37.79588)))"
060750255021,1,0.135142896,167961,23.8512035,0,63.45733042,0,0.54035212,3501,1179300,6763.211607,0.236828738,147.9915012,125.7927761,96.19447581,140.5919262,12.9707113,34.8549843,0,0,58.60223623,6.542779472,1532.879419,4119.613439,19.16099274,900.5666587,74.31490555,76.64397095,0,153.2888054,48.64549729,38.32220135,8.916203235,0.382828642,0.057765633,0.151452101,0.428848053,0.018762341,63.28201703,41.81201171875,5.046390056610107,"MULTIPOLYGON (((-122.4359 37.73158, -122.4325 37.73312, -122.4318 37.73225, -122.4312 37.73051, -122.4302 37.72987, -122.4313 37.72873, -122.4318 37.72825, -122.4355 37.73081, -122.4361 37.73147, -122.4359 37.73158)))"
060750327001,1,0.120951704,114813,23.00357569,0,64.95828367,0,0.523385437,NA,1893800,6936.65302,0.300222964,124.0164425,289.3716993,66.14210269,16.53552567,0,1.883842935,0,0,98.11615707,0,920.58907610000006,3275.584387,0,470.9990622,35.05373818,42.81809656,0,21.40916888,15.06108446,0,0,0.399682854,0.079270089,0.12659701,0.436236154,0.024003405,20.8493811,57.2566032409668,1.855826735496521,"MULTIPOLYGON (((-122.4933 37.76477, -122.4869 37.76505, -122.4868 37.76314, -122.4932 37.76285, -122.4933 37.76477)))"
060750215005,1,0.104613378,250001,73.53648757,0,6.816359262,0,0.454592224,3351,1681300,11920.08154,0.364951732,248.534178,238.9751711,105.1490753,19.11801369,0,0,0,0,95.31113705,4.688862952,2401.030123,11064.54088,0,420.7990938,28.99316793,0,0,49.50605462,8.221302956,24.75302731,8.221302956,0.343314431,0.108757713,0.191326488,0.435662009,0.023862665,15,56.228763580322266,7.023928642272949,"MULTIPOLYGON (((-122.4315 37.74743, -122.427 37.7477, -122.4269 37.7461, -122.4268 37.7453, -122.4313 37.74503, -122.4315 37.74743)))"
060750261003,1,0.118046818,123262,24.10770194,13.33750783,46.21164684,6.199123356,0.706666656,NA,1185400,13528.53067,0.366900642,245.6652407,304.9637471,110.1257976,67.76972158,5.59566787,20.61373327,0,0,78.9492985,0.43696823,833.5622648,2127.77736,21.93584907,701.9471704,39.80251741,65.80754722,21.93584907,87.74389058,21.91076143,87.74389058,5.027029491,0.400900187,0.043134885,0.129529774,0.424584041,0.027421393,40.38508443,62.471797943115234,4.983790874481201,"MULTIPOLYGON (((-122.4486 37.71841, -122.4466 37.72078, -122.4437 37.71896, -122.4469 37.71619, -122.448 37.717, -122.4487 37.71745, -122.4486 37.71841)))"
060750212001,1,0.096735246,178068,69.41031941,1.965601966,12.8992629,0,0.50032599,1760,2000001,8414.719864,0.346269718,175.7373927,206.7498738,103.3749369,10.33749369,0.757575758,9.80891e-4,0,0,99.99901911,0,2676.877478,10627.20359,0,428.3003965,28.66535561,0,0,53.53785115,11.87325212,0,0,0.376079767,0.081869784,0.158630371,0.429349587,0.026216264,15,104.69403076171875,9.492439270019531,"MULTIPOLYGON (((-122.4378 37.75554, -122.4345 37.75609, -122.4343 37.75369, -122.4342 37.75289, -122.4375 37.7527, -122.4378 37.75554)))"
060750260031,1,0.188844671,126162,28.73563218,0.91954023,44.71264368,0,0.688610854,2688,1178400,13820.88246,0.336246483,169.4514325,142.9746462,100.611788,10.59071453,3.043170559,4.758201163,0,0,95.24179884,0,1275.231375,4278.19558,0,329.0919677,29.42633173,0,0,246.8203661,17.41844953,0,0,0.386660062,0.058733231,0.144520686,0.437516824,0.022926722,15,96.07049560546875,5.141414642333984,"MULTIPOLYGON (((-122.43 37.7224, -122.4288 37.72395, -122.4281 37.72359, -122.4248 37.72217, -122.4258 37.7193, -122.4264 37.71856, -122.4312 37.72086, -122.43 37.7224)))"
060750160001,2,0.084859554,50234,40.59869036,5.70626754,41.81478017,1.777362021,0.655683034,1051,960900,12597.28511,0.332502024,1685.137297,2333.267027,1060.575921,3511.684717,1.990049751,0,0.031700328,0,61.68564835,38.28265132,3570.279779,10405.68722,0,732.3650828,32.76439184,183.0912707,6987.983499,30.51538368,20.47360478,0,0,0.317442415,0.109373424,0.207289432,0.436212531,0.026537828,17.35354719,47.5864372253418,9.072054862976074,"MULTIPOLYGON (((-122.4247 37.78529, -122.4228 37.78455, -122.4219 37.77989, -122.4235 37.77967, -122.4241 37.78248, -122.4247 37.78529)))"
060750124061,1,0.030813054,60286,21.69014085,19.15492958,35.49295775,0,0.780003967,NA,NA,23042.1824,0.461815216,1817.41157,7723.999172,2758.571133,1363.058677,5.647840532,0.005804981,0,0,0,99.99419502,10168.76856,5378.522216,0,336.1576385,37.43465156,84.03940962,10252.80797,252.1196491,39.4519055,0,0,0.277301186,0.026797646,0.256004735,0.429763794,0.02708676,19.22032335,32.64879608154297,6.603597164154053,"MULTIPOLYGON (((-122.4194 37.78403, -122.4177 37.78424, -122.4173 37.78238, -122.419 37.78217, -122.4194 37.78403)))"
