geoid,date_data_,time_data_,date_dat_2,time_dat_2,lat_mean,lon_mean,heading_me,SVI_road,SVI_sidewalk,SVI_building,SVI_wall,SVI_fence,SVI_pole,SVI_traffic_light,SVI_traffic_signal,SVI_vegetation,SVI_terrain,SVI_sky,SVI_person,SVI_rider,SVI_car,SVI_truck,SVI_bus,SVI_train,SVI_motorcycle,SVI_bicycle
60750119012,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.790998,-122.413207,189.256863,0.408925,0.020997,0.200586,0.001703,0.0019,0.002877,0.000518,0.000591,0.030922,0.000214,0.294363,0.000831,0.000289,0.032046,0.002865,5e-06,0.000145,0.000142,8.1e-05
60750122021,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.786164,-122.418845,184.240173,0.361496,0.030703,0.276364,0.000111,0.00715,0.003961,0.000117,0.000423,0.02386,0.000273,0.252352,0.002118,0.000185,0.036825,0.000316,0.001706,0.000552,0.000516,0.00097
60750135003,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.789749,-122.433486,215.24731,0.394681,0.020684,0.153037,0.000663,0.002286,0.005843,0.00016,0.000333,0.071901,0.00073,0.310093,0.002317,0.000165,0.034248,0.000985,0.000602,0.000505,0.000406,0.000362
60750130022,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.796609,-122.435266,196.994313,0.392073,0.0184,0.159602,0.00041,0.000851,0.004734,8.3e-05,0.000415,0.065201,0.000716,0.320117,0.001153,0.000185,0.034169,0.000606,0.000566,0.000371,0.000201,0.000146
60750168022,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.77348,-122.427486,230.355687,0.38698,0.026016,0.110549,0.001012,0.003791,0.005928,0.000121,0.000417,0.10647,0.002222,0.320015,0.00056,0.000237,0.034679,0.000274,9e-05,1.9e-05,0.000378,0.000241
60750119021,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.791561,-122.409337,194.728217,0.453365,0.02465,0.207294,0.003762,0.001121,0.00228,0.000303,0.000572,0.055896,0.000656,0.226003,0.001044,0.000123,0.021949,0.000628,8.1e-05,3e-05,0.000176,6.6e-05
60750152012,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.787378,-122.426709,195.201727,0.393497,0.019679,0.138858,0.000605,0.001589,0.003513,0.000287,0.000375,0.096157,0.000606,0.302529,0.000595,0.000214,0.040658,0.000368,1.3e-05,0.000155,0.000223,7.9e-05
60750165001,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.774614,-122.442665,209.504727,0.40019,0.022695,0.085436,0.000831,0.004465,0.005181,0.000159,0.000266,0.101666,0.002791,0.34003,0.00052,9.3e-05,0.034031,0.001093,0.000147,4e-05,0.000181,0.000186
60750178042,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.779603,-122.405061,119.42006,0.401101,0.024591,0.161889,0.000339,0.003149,0.003595,0.000267,0.000514,0.05291,0.002411,0.321253,0.00075,0.000219,0.025515,0.000628,0.000416,0.000126,9.1e-05,0.000236
60750158022,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.777473,-122.438087,212.142979,0.396449,0.019198,0.113282,0.000981,0.000872,0.00546,0.00031,0.000285,0.07484,0.005948,0.344453,0.000776,0.000175,0.034374,0.001038,0.000619,0.000547,0.000306,8.8e-05
60750178012,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.780444,-122.401256,165.837985,0.403362,0.023095,0.136576,0.000539,0.0079,0.0047,0.000307,0.000722,0.071826,0.000959,0.324504,0.000969,0.000278,0.021257,0.000862,0.000761,0.000801,0.00028,0.000301
60750204011,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.759137,-122.44399,199.084147,0.400407,0.026339,0.085546,0.006556,0.005769,0.004964,0.00022,0.000276,0.079403,0.003989,0.36666,0.000274,0.000139,0.01862,0.000344,6.9e-05,0.000199,0.000151,7.7e-05
60750171022,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.762705,-122.45022,232.598454,0.373523,0.029417,0.086056,0.000205,0.002375,0.003782,4e-06,0.00028,0.129447,0.001108,0.32567,0.000377,0.000233,0.046514,0.000426,1.4e-05,0.000164,0.000332,7.3e-05
60750171013,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.768265,-122.44524,204.068038,0.387476,0.019818,0.091986,0.000381,0.00136,0.003378,2e-06,0.000222,0.113077,0.003439,0.333823,0.000456,0.000233,0.04373,0.000144,3.2e-05,2e-05,0.000358,6.4e-05
60750171012,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.763299,-122.446298,180.152597,0.379171,0.031271,0.098573,0.001095,0.001194,0.002362,7.4e-05,0.000267,0.11854,0.001336,0.329244,0.000368,0.000241,0.035023,0.000681,6.4e-05,1.1e-05,0.000393,9.3e-05
60750178011,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.78263,-122.401603,142.382303,0.391668,0.023691,0.196648,0.004663,0.005546,0.004401,0.000205,0.000411,0.048629,0.005254,0.292838,0.001263,0.000183,0.021793,0.001293,0.000627,0.000424,0.000147,0.000317
60750168021,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.773839,-122.422496,216.804423,0.395137,0.030043,0.126649,0.000441,0.004122,0.00651,0.000728,0.000704,0.09265,0.006353,0.303333,0.001487,0.000379,0.029053,0.00088,0.000583,0.000346,0.000227,0.000375
60750168012,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.770204,-122.430026,182.803136,0.387058,0.028546,0.128062,0.000587,0.002078,0.005405,1.6e-05,0.000371,0.108455,0.00133,0.310571,0.000792,0.00012,0.024877,0.000278,0.000276,0.00043,0.000378,0.000368
60750168011,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.772102,-122.430318,190.38222,0.395085,0.023695,0.124954,0.000357,0.00121,0.006168,0.000153,0.000389,0.094106,0.000449,0.318371,0.000955,0.00028,0.031684,0.000475,0.000683,0.000408,0.000369,0.000209
60750158012,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.781878,-122.439623,203.832657,0.407763,0.021432,0.068776,0.000543,0.00339,0.003418,0.00023,0.000493,0.135182,0.005761,0.32217,0.000528,0.000141,0.028258,0.000297,0.000774,0.000452,0.00028,0.000112
60750158011,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.782733,-122.435813,191.313092,0.394751,0.020187,0.046248,0.000452,0.007921,0.002888,0.000125,0.000269,0.202322,0.009824,0.28453,0.000481,0.00024,0.0285,0.000196,0.000304,4.5e-05,0.000332,0.000385
60750131012,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.791535,-122.424073,255.14295,0.399753,0.028633,0.173852,0.001535,0.002561,0.005893,0.000463,0.00043,0.05413,0.000856,0.300347,0.000804,0.000101,0.028217,0.000253,0.001011,0.000948,0.000166,4.5e-05
60750129023,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.800424,-122.434285,200.193954,0.396238,0.026036,0.132601,0.000453,0.002085,0.00456,0.000423,0.000592,0.038923,0.005433,0.363085,0.000745,0.000166,0.025963,0.000515,0.001527,0.000377,0.000163,0.000114
60750129022,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.801109,-122.430846,202.518879,0.402513,0.025762,0.11148,0.00031,0.0019,0.004858,0.000518,0.000805,0.040873,0.005577,0.377832,0.000845,0.000176,0.025235,0.000497,0.000498,6.1e-05,0.000129,0.000135
60750129021,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.799643,-122.429078,210.837154,0.398854,0.023959,0.130847,0.000596,0.001261,0.005219,0.000449,0.000478,0.043678,0.002948,0.359866,0.000701,0.000131,0.029711,0.000841,0.000175,7.8e-05,0.000114,9.2e-05
60750129012,2022/7/21,22:57:39.866,2022/7/25,14:01:00.000,37.803204,-122.427149,169.303207,0.401062,0.02836,0.132714,0.000329,0.00164,0.003238,0.000381,0.000382,0.050522,0.001855,0.35124,0.00061,0.000233,0.026506,0.000369,0.000305,1.3e-05,0.000153,8.8e-05
